Ticker,Close Price,RSI,EMA 200,Signal
BBRI.JK,3850,57.26,3709,BUY (Trend + Discount)
BMRI.JK,5050,59.62,4695,BUY (Golden Cross)
BBNI.JK,4570,58.74,4252,BUY (Trend + Discount)
TLKM.JK,3290,38.04,3064,BUY (Trend + Discount)
ASII.JK,6950,54.82,5612,BUY (Trend + Discount)
UNTR.JK,27400,47.41,25271,BUY (Trend + Discount)
ANTM.JK,3810,47.7,2996,BUY (Trend + Discount)
MDKA.JK,3060,54.46,2279,BUY (Trend + Discount)
ADRO.JK,2100,48.91,1792,BUY (Trend + Discount)
PTBA.JK,2590,66.7,2392,BUY (Golden Cross)
